受注番号,明細番号,受注日,顧客コード,顧客名,顧客所在地,拠点,部署,営業担当者,品名,品名カテゴリ,数量,定価,値引率,販売単価,販売金額,原価単価,原価,粗利
SO20220104-C0127,1,2022-01-04,C0127,W4株式会社,神奈川県,東京本社,営業2部,山本,オフィススイート,ソフトウェア,40,50000,0.1778,41110,1644400,27500,1100000,544400
SO20220104-C0127,2,2022-01-04,C0127,W4株式会社,神奈川県,東京本社,営業2部,山本,CADソフト,ソフトウェア,5,400000,0.1805,327790,1638950,168000,840000,798950
SO20220104-C0127,3,2022-01-04,C0127,W4株式会社,神奈川県,東京本社,営業2部,山本,セキュリティソフト,ソフトウェア,110,8000,0.1836,6530,718300,4000,440000,278300
SO20220104-C0132,1,2022-01-04,C0132,B5株式会社,東京都,東京本社,ソリューション営業部,山田,ノートPC_標準モデル,PC,31,150000,0.11,133500,4138500,126000,3906000,232500
SO20220104-C0133,1,2022-01-04,C0133,C5株式会社,東京都,東京本社,ソリューション営業部,佐々木,セキュリティソフト,ソフトウェア,75,8000,0.1709,6630,497250,4000,300000,197250
SO20220104-C0135,1,2022-01-04,C0135,E5株式会社,埼玉県,東京本社,ソリューション営業部,井上,ノートPC_軽量モデル,PC,13,200000,0.13,174000,2262000,164000,2132000,130000
SO20220104-C0135,2,2022-01-04,C0135,E5株式会社,埼玉県,東京本社,ソリューション営業部,井上,業務管理ソフト,ソフトウェア,35,250000,0.3394,165150,5780250,100000,3500000,2280250
SO20220104-C0135,3,2022-01-04,C0135,E5株式会社,埼玉県,東京本社,ソリューション営業部,井上,オフィススイート,ソフトウェア,46,50000,0.35,32500,1495000,27500,1265000,230000
SO20220104-C0162,1,2022-01-04,C0162,F6株式会社,千葉県,東京本社,ソリューション営業部,山田,セキュリティソフト,ソフトウェア,48,8000,0.1913,6470,310560,4000,192000,118560
SO20220104-C0162,2,2022-01-04,C0162,F6株式会社,千葉県,東京本社,ソリューション営業部,山田,会計ソフト,ソフトウェア,12,180000,0.1991,144170,1730040,81000,972000,758040
SO20220104-C0162,3,2022-01-04,C0162,F6株式会社,千葉県,東京本社,ソリューション営業部,山田,オフィススイート,ソフトウェア,50,50000,0.2145,39270,1963500,27500,1375000,588500
SO20220104-C0180,1,2022-01-04,C0180,X6株式会社,千葉県,東京本社,ソリューション営業部,井上,会計ソフト,ソフトウェア,25,180000,0.35,117000,2925000,81000,2025000,900000
SO20220104-C0182,1,2022-01-04,C0182,Z6株式会社,神奈川県,東京本社,営業1部,鈴木,ノートPC_軽量モデル,PC,53,200000,0.118,176400,9349200,164000,8692000,657200
SO20220104-C0183,1,2022-01-04,C0183,A7株式会社,東京都,東京本社,営業1部,高橋,ノートPC_標準モデル,PC,8,150000,0.0637,140450,1123600,126000,1008000,115600
SO20220104-C0183,2,2022-01-04,C0183,A7株式会社,東京都,東京本社,営業1部,高橋,ノートPC_軽量モデル,PC,3,200000,0.0695,186110,558330,164000,492000,66330
SO20220104-C0183,3,2022-01-04,C0183,A7株式会社,東京都,東京本社,営業1部,高橋,ワークステーション,PC,5,500000,0.0958,452080,2260400,390000,1950000,310400
SO20220104-C0191,1,2022-01-04,C0191,I7株式会社,埼玉県,東京本社,ソリューション営業部,吉田,ノートPC_標準モデル,PC,16,150000,0.0397,144050,2304800,126000,2016000,288800
SO20220105-C0025,1,2022-01-05,C0025,Y株式会社,埼玉県,東京本社,営業2部,加藤,会計ソフト,ソフトウェア,5,180000,0.1216,158110,790550,81000,405000,385550
SO20220105-C0025,2,2022-01-05,C0025,Y株式会社,埼玉県,東京本社,営業2部,加藤,ワークステーション,PC,1,500000,0.0562,471890,471890,390000,390000,81890
SO20220105-C0045,1,2022-01-05,C0045,S1株式会社,東京都,東京本社,ソリューション営業部,井上,セキュリティソフト,ソフトウェア,15,8000,0.1688,6650,99750,4000,60000,39750
SO20220105-C0045,2,2022-01-05,C0045,S1株式会社,東京都,東京本社,ソリューション営業部,井上,会計ソフト,ソフトウェア,17,180000,0.1616,150910,2565470,81000,1377000,1188470
SO20220105-C0045,3,2022-01-05,C0045,S1株式会社,東京都,東京本社,ソリューション営業部,井上,デスクトップPC_標準モデル,PC,11,120000,0.0437,114760,1262360,102000,1122000,140360
SO20220105-C0048,1,2022-01-05,C0048,V1株式会社,神奈川県,東京本社,営業1部,高橋,デスクトップPC_標準モデル,PC,25,120000,0.0147,118240,2956000,102000,2550000,406000
SO20220105-C0048,2,2022-01-05,C0048,V1株式会社,神奈川県,東京本社,営業1部,高橋,ノートPC_軽量モデル,PC,20,200000,0.0878,182430,3648600,164000,3280000,368600
SO20220105-C0062,1,2022-01-05,C0062,J2株式会社,東京都,東京本社,営業1部,鈴木,ノートPC_高性能モデル,PC,3,300000,0.1149,265540,796620,240000,720000,76620
SO20220105-C0062,2,2022-01-05,C0062,J2株式会社,東京都,東京本社,営業1部,鈴木,ノートPC_標準モデル,PC,2,150000,0.0657,140150,280300,126000,252000,28300
SO20220105-C0076,1,2022-01-05,C0076,X2株式会社,東京都,東京本社,営業1部,佐藤,デスクトップPC_標準モデル,PC,8,120000,0.0583,113010,904080,102000,816000,88080
SO20220105-C0078,1,2022-01-05,C0078,Z2株式会社,東京都,東京本社,営業1部,高橋,ノートPC_標準モデル,PC,8,150000,0.0302,145480,1163840,126000,1008000,155840
SO20220105-C0096,1,2022-01-05,C0096,R3株式会社,千葉県,東京本社,営業2部,渡辺,業務管理ソフト,ソフトウェア,7,250000,0.1373,215680,1509760,100000,700000,809760
SO20220105-C0101,1,2022-01-05,C0101,W3株式会社,神奈川県,東京本社,ソリューション営業部,吉田,セキュリティソフト,ソフトウェア,29,8000,0.1755,6600,191400,4000,116000,75400
SO20220105-C0164,1,2022-01-05,C0164,H6株式会社,東京都,東京本社,ソリューション営業部,松本,CADソフト,ソフトウェア,9,400000,0.1055,357790,3220110,168000,1512000,1708110
SO20220105-C0164,2,2022-01-05,C0164,H6株式会社,東京都,東京本社,ソリューション営業部,松本,ノートPC_軽量モデル,PC,7,200000,0.0329,193430,1354010,164000,1148000,206010
SO20220105-C0170,1,2022-01-05,C0170,N6株式会社,千葉県,東京本社,営業1部,伊藤,デスクトップPC_標準モデル,PC,3,120000,0.0423,114930,344790,102000,306000,38790
SO20220105-C0170,2,2022-01-05,C0170,N6株式会社,千葉県,東京本社,営業1部,伊藤,ノートPC_高性能モデル,PC,6,300000,0.0668,279950,1679700,240000,1440000,239700
SO20220105-C0170,3,2022-01-05,C0170,N6株式会社,千葉県,東京本社,営業1部,伊藤,ワークステーション,PC,3,500000,0.0792,460380,1381140,390000,1170000,211140
SO20220105-C0171,1,2022-01-05,C0171,O6株式会社,茨城県,東京本社,営業2部,渡辺,オフィススイート,ソフトウェア,42,50000,0.1329,43350,1820700,27500,1155000,665700
SO20220105-C0171,2,2022-01-05,C0171,O6株式会社,茨城県,東京本社,営業2部,渡辺,CADソフト,ソフトウェア,7,400000,0.144,342400,2396800,168000,1176000,1220800
SO20220105-C0178,1,2022-01-05,C0178,V6株式会社,埼玉県,東京本社,ソリューション営業部,佐々木,セキュリティソフト,ソフトウェア,25,8000,0.1865,6510,162750,4000,100000,62750
SO20220105-C0182,1,2022-01-05,C0182,Z6株式会社,神奈川県,東京本社,営業1部,鈴木,オフィススイート,ソフトウェア,181,50000,0.35,32500,5882500,27500,4977500,905000
SO20220105-C0194,1,2022-01-05,C0194,L7株式会社,茨城県,東京本社,ソリューション営業部,松本,デスクトップPC_標準モデル,PC,9,120000,0.0969,108380,975420,102000,918000,57420
SO20220105-C0194,2,2022-01-05,C0194,L7株式会社,茨城県,東京本社,ソリューション営業部,松本,会計ソフト,ソフトウェア,14,180000,0.3076,124630,1744820,81000,1134000,610820
SO20220105-C0200,1,2022-01-05,C0200,R7株式会社,神奈川県,東京本社,営業1部,伊藤,オフィススイート,ソフトウェア,22,50000,0.1258,43710,961620,27500,605000,356620
SO20220106-C0001,1,2022-01-06,C0001,A株式会社,千葉県,東京本社,営業1部,佐藤,ノートPC_高性能モデル,PC,5,300000,0.1278,261670,1308350,240000,1200000,108350
SO20220106-C0001,2,2022-01-06,C0001,A株式会社,千葉県,東京本社,営業1部,佐藤,ノートPC_軽量モデル,PC,9,200000,0.103,179390,1614510,164000,1476000,138510
SO20220106-C0001,3,2022-01-06,C0001,A株式会社,千葉県,東京本社,営業1部,佐藤,デスクトップPC_標準モデル,PC,10,120000,0.0426,114890,1148900,102000,1020000,128900
SO20220106-C0019,1,2022-01-06,C0019,S株式会社,神奈川県,東京本社,営業1部,田中,ノートPC_軽量モデル,PC,8,200000,0.1222,175560,1404480,164000,1312000,92480
SO20220106-C0019,2,2022-01-06,C0019,S株式会社,神奈川県,東京本社,営業1部,田中,ノートPC_高性能モデル,PC,6,300000,0.1317,260490,1562940,240000,1440000,122940
SO20220106-C0019,3,2022-01-06,C0019,S株式会社,神奈川県,東京本社,営業1部,田中,ワークステーション,PC,15,500000,0.1698,415110,6226650,390000,5850000,376650
SO20220106-C0020,1,2022-01-06,C0020,T株式会社,茨城県,東京本社,営業1部,伊藤,ノートPC_高性能モデル,PC,23,300000,0.0904,272870,6276010,240000,5520000,756010
SO20220106-C0020,2,2022-01-06,C0020,T株式会社,茨城県,東京本社,営業1部,伊藤,セキュリティソフト,ソフトウェア,36,8000,0.1841,6530,235080,4000,144000,91080
SO20220106-C0023,1,2022-01-06,C0023,W株式会社,茨城県,東京本社,営業2部,中村,ノートPC_高性能モデル,PC,5,300000,0.0468,285960,1429800,240000,1200000,229800
SO20220106-C0023,2,2022-01-06,C0023,W株式会社,茨城県,東京本社,営業2部,中村,セキュリティソフト,ソフトウェア,117,8000,0.174,6610,773370,4000,468000,305370
SO20220106-C0024,1,2022-01-06,C0024,X株式会社,東京都,東京本社,営業2部,小林,ノートPC_標準モデル,PC,8,150000,0.0533,142000,1136000,126000,1008000,128000
SO20220106-C0030,1,2022-01-06,C0030,D1株式会社,東京都,東京本社,ソリューション営業部,井上,セキュリティソフト,ソフトウェア,31,8000,0.1743,6610,204910,4000,124000,80910
SO20220106-C0030,2,2022-01-06,C0030,D1株式会社,東京都,東京本社,ソリューション営業部,井上,CADソフト,ソフトウェア,8,400000,0.148,340810,2726480,168000,1344000,1382480
SO20220106-C0053,1,2022-01-06,C0053,A2株式会社,東京都,東京本社,営業2部,中村,業務管理ソフト,ソフトウェア,5,250000,0.17,207510,1037550,100000,500000,537550
SO20220106-C0053,2,2022-01-06,C0053,A2株式会社,東京都,東京本社,営業2部,中村,CADソフト,ソフトウェア,2,400000,0.1658,333680,667360,168000,336000,331360
SO20220106-C0053,3,2022-01-06,C0053,A2株式会社,東京都,東京本社,営業2部,中村,セキュリティソフト,ソフトウェア,54,8000,0.1425,6860,370440,4000,216000,154440
SO20220106-C0066,1,2022-01-06,C0066,N2株式会社,茨城県,東京本社,営業2部,渡辺,会計ソフト,ソフトウェア,6,180000,0.1459,153730,922380,81000,486000,436380
SO20220106-C0066,2,2022-01-06,C0066,N2株式会社,茨城県,東京本社,営業2部,渡辺,ノートPC_標準モデル,PC,11,150000,0.0311,145340,1598740,126000,1386000,212740
SO20220106-C0066,3,2022-01-06,C0066,N2株式会社,茨城県,東京本社,営業2部,渡辺,オフィススイート,ソフトウェア,7,50000,0.1293,43540,304780,27500,192500,112280
SO20220106-C0067,1,2022-01-06,C0067,O2株式会社,千葉県,東京本社,営業2部,山本,ノートPC_標準モデル,PC,13,150000,0.0233,146510,1904630,126000,1638000,266630
SO20220106-C0067,2,2022-01-06,C0067,O2株式会社,千葉県,東京本社,営業2部,山本,デスクトップPC_標準モデル,PC,14,120000,0.0192,117690,1647660,102000,1428000,219660
SO20220106-C0068,1,2022-01-06,C0068,P2株式会社,埼玉県,東京本社,営業2部,中村,業務管理ソフト,ソフトウェア,2,250000,0.2874,178160,356320,100000,200000,156320
SO20220106-C0068,2,2022-01-06,C0068,P2株式会社,埼玉県,東京本社,営業2部,中村,デスクトップPC_標準モデル,PC,19,120000,0.0844,109870,2087530,102000,1938000,149530
SO20220106-C0068,3,2022-01-06,C0068,P2株式会社,埼玉県,東京本社,営業2部,中村,ノートPC_高性能モデル,PC,9,300000,0.0984,270470,2434230,240000,2160000,274230
SO20220106-C0071,1,2022-01-06,C0071,S2株式会社,東京都,東京本社,ソリューション営業部,吉田,セキュリティソフト,ソフトウェア,29,8000,0.1403,6880,199520,4000,116000,83520
SO20220106-C0071,2,2022-01-06,C0071,S2株式会社,東京都,東京本社,ソリューション営業部,吉田,業務管理ソフト,ソフトウェア,3,250000,0.1253,218680,656040,100000,300000,356040
SO20220106-C0092,1,2022-01-06,C0092,N3株式会社,東京都,東京本社,営業1部,鈴木,ノートPC_標準モデル,PC,13,150000,0.0316,145260,1888380,126000,1638000,250380
SO20220106-C0092,2,2022-01-06,C0092,N3株式会社,東京都,東京本社,営業1部,鈴木,ワークステーション,PC,2,500000,0.0257,487170,974340,390000,780000,194340
SO20220106-C0092,3,2022-01-06,C0092,N3株式会社,東京都,東京本社,営業1部,鈴木,デスクトップPC_標準モデル,PC,19,120000,0.0255,116940,2221860,102000,1938000,283860
SO20220106-C0093,1,2022-01-06,C0093,O3株式会社,神奈川県,東京本社,営業1部,高橋,ノートPC_軽量モデル,PC,10,200000,0.1105,177890,1778900,164000,1640000,138900
SO20220106-C0093,2,2022-01-06,C0093,O3株式会社,神奈川県,東京本社,営業1部,高橋,ノートPC_標準モデル,PC,35,150000,0.0848,137270,4804450,126000,4410000,394450
SO20220106-C0103,1,2022-01-06,C0103,Y3株式会社,東京都,東京本社,ソリューション営業部,佐々木,セキュリティソフト,ソフトウェア,49,8000,0.1205,7040,344960,4000,196000,148960
SO20220106-C0103,2,2022-01-06,C0103,Y3株式会社,東京都,東京本社,ソリューション営業部,佐々木,業務管理ソフト,ソフトウェア,3,250000,0.1197,220070,660210,100000,300000,360210
SO20220106-C0109,1,2022-01-06,C0109,E4株式会社,茨城県,東京本社,営業1部,田中,デスクトップPC_標準モデル,PC,9,120000,0.089,109310,983790,102000,918000,65790
SO20220106-C0126,1,2022-01-06,C0126,V4株式会社,東京都,東京本社,営業2部,渡辺,デスクトップPC_標準モデル,PC,8,120000,0.0364,115640,925120,102000,816000,109120
SO20220106-C0126,2,2022-01-06,C0126,V4株式会社,東京都,東京本社,営業2部,渡辺,セキュリティソフト,ソフトウェア,71,8000,0.1706,6630,470730,4000,284000,186730
SO20220106-C0127,1,2022-01-06,C0127,W4株式会社,神奈川県,東京本社,営業2部,山本,ノートPC_軽量モデル,PC,19,200000,0.0573,188550,3582450,164000,3116000,466450
SO20220106-C0127,2,2022-01-06,C0127,W4株式会社,神奈川県,東京本社,営業2部,山本,ノートPC_標準モデル,PC,12,150000,0.0523,142150,1705800,126000,1512000,193800
SO20220106-C0152,1,2022-01-06,C0152,V5株式会社,栃木県,東京本社,営業1部,鈴木,ワークステーション,PC,3,500000,0.0732,463410,1390230,390000,1170000,220230
SO20220106-C0152,2,2022-01-06,C0152,V5株式会社,栃木県,東京本社,営業1部,鈴木,ノートPC_標準モデル,PC,3,150000,0.0584,141240,423720,126000,378000,45720
SO20220106-C0152,3,2022-01-06,C0152,V5株式会社,栃木県,東京本社,営業1部,鈴木,ノートPC_高性能モデル,PC,5,300000,0.0784,276490,1382450,240000,1200000,182450
SO20220106-C0160,1,2022-01-06,C0160,D6株式会社,東京都,東京本社,営業2部,加藤,ノートPC_標準モデル,PC,9,150000,0.0089,148670,1338030,126000,1134000,204030
SO20220106-C0160,2,2022-01-06,C0160,D6株式会社,東京都,東京本社,営業2部,加藤,セキュリティソフト,ソフトウェア,33,8000,0.0584,7530,248490,4000,132000,116490
SO20220106-C0160,3,2022-01-06,C0160,D6株式会社,東京都,東京本社,営業2部,加藤,オフィススイート,ソフトウェア,16,50000,0.0767,46160,738560,27500,440000,298560
SO20220106-C0182,1,2022-01-06,C0182,Z6株式会社,神奈川県,東京本社,営業1部,鈴木,オフィススイート,ソフトウェア,148,50000,0.35,32500,4810000,27500,4070000,740000
SO20220106-C0182,2,2022-01-06,C0182,Z6株式会社,神奈川県,東京本社,営業1部,鈴木,CADソフト,ソフトウェア,21,400000,0.3186,272560,5723760,168000,3528000,2195760
SO20220106-C0185,1,2022-01-06,C0185,C7株式会社,千葉県,東京本社,営業1部,伊藤,デスクトップPC_標準モデル,PC,5,120000,0.0499,114010,570050,102000,510000,60050
SO20220106-C0185,2,2022-01-06,C0185,C7株式会社,千葉県,東京本社,営業1部,伊藤,ノートPC_高性能モデル,PC,2,300000,0.0781,276570,553140,240000,480000,73140
SO20220106-C0186,1,2022-01-06,C0186,D7株式会社,東京都,東京本社,営業2部,渡辺,セキュリティソフト,ソフトウェア,160,8000,0.2579,5940,950400,4000,640000,310400
SO20220106-C0186,2,2022-01-06,C0186,D7株式会社,東京都,東京本社,営業2部,渡辺,業務管理ソフト,ソフトウェア,6,250000,0.2734,181640,1089840,100000,600000,489840
SO20220106-C0186,3,2022-01-06,C0186,D7株式会社,東京都,東京本社,営業2部,渡辺,ノートPC_標準モデル,PC,18,150000,0.0793,138110,2485980,126000,2268000,217980
SO20220106-C0191,1,2022-01-06,C0191,I7株式会社,埼玉県,東京本社,ソリューション営業部,吉田,ノートPC_軽量モデル,PC,18,200000,0.054,189210,3405780,164000,2952000,453780
SO20220106-C0191,2,2022-01-06,C0191,I7株式会社,埼玉県,東京本社,ソリューション営業部,吉田,セキュリティソフト,ソフトウェア,14,8000,0.0896,7280,101920,4000,56000,45920
SO20220106-C0191,3,2022-01-06,C0191,I7株式会社,埼玉県,東京本社,ソリューション営業部,吉田,オフィススイート,ソフトウェア,240,50000,0.0742,46290,11109600,27500,6600000,4509600
SO20220106-C0198,1,2022-01-06,C0198,P7株式会社,神奈川県,東京本社,営業1部,高橋,ワークステーション,PC,4,500000,0.109,445510,1782040,390000,1560000,222040
SO20220107-C0011,1,2022-01-07,C0011,K株式会社,東京都,東京本社,ソリューション営業部,吉田,業務管理ソフト,ソフトウェア,11,250000,0.2414,189640,2086040,100000,1100000,986040
SO20220107-C0024,1,2022-01-07,C0024,X株式会社,東京都,東京本社,営業2部,小林,ノートPC_標準モデル,PC,14,150000,0.0603,140950,1973300,126000,1764000,209300
SO20220107-C0024,2,2022-01-07,C0024,X株式会社,東京都,東京本社,営業2部,小林,セキュリティソフト,ソフトウェア,90,8000,0.1829,6540,588600,4000,360000,228600
SO20220107-C0041,1,2022-01-07,C0041,O1株式会社,茨城県,東京本社,ソリューション営業部,吉田,CADソフト,ソフトウェア,2,400000,0.0574,377040,754080,168000,336000,418080
SO20220107-C0041,2,2022-01-07,C0041,O1株式会社,茨城県,東京本社,ソリューション営業部,吉田,会計ソフト,ソフトウェア,1,180000,0.0645,168400,168400,81000,81000,87400
SO20220107-C0047,1,2022-01-07,C0047,U1株式会社,千葉県,東京本社,営業1部,鈴木,業務管理ソフト,ソフトウェア,2,250000,0.1654,208650,417300,100000,200000,217300
SO20220107-C0047,2,2022-01-07,C0047,U1株式会社,千葉県,東京本社,営業1部,鈴木,デスクトップPC_標準モデル,PC,18,120000,0.0487,114160,2054880,102000,1836000,218880
SO20220107-C0047,3,2022-01-07,C0047,U1株式会社,千葉県,東京本社,営業1部,鈴木,ワークステーション,PC,3,500000,0.0908,454620,1363860,390000,1170000,193860
SO20220107-C0049,1,2022-01-07,C0049,W1株式会社,東京都,東京本社,営業1部,田中,ワークステーション,PC,4,500000,0.1381,430940,1723760,390000,1560000,163760
SO20220107-C0049,2,2022-01-07,C0049,W1株式会社,東京都,東京本社,営業1部,田中,会計ソフト,ソフトウェア,12,180000,0.2702,131370,1576440,81000,972000,604440
SO20220107-C0049,3,2022-01-07,C0049,W1株式会社,東京都,東京本社,営業1部,田中,ノートPC_標準モデル,PC,22,150000,0.0858,137120,3016640,126000,2772000,244640
SO20220107-C0053,1,2022-01-07,C0053,A2株式会社,東京都,東京本社,営業2部,中村,ワークステーション,PC,4,500000,0.1025,448770,1795080,390000,1560000,235080
SO20220107-C0053,2,2022-01-07,C0053,A2株式会社,東京都,東京本社,営業2部,中村,会計ソフト,ソフトウェア,10,180000,0.1401,154780,1547800,81000,810000,737800
SO20220107-C0053,3,2022-01-07,C0053,A2株式会社,東京都,東京本社,営業2部,中村,ノートPC_標準モデル,PC,7,150000,0.0512,142320,996240,126000,882000,114240
SO20220107-C0055,1,2022-01-07,C0055,C2株式会社,東京都,東京本社,営業2部,加藤,CADソフト,ソフトウェア,5,400000,0.1037,358530,1792650,168000,840000,952650
SO20220107-C0055,2,2022-01-07,C0055,C2株式会社,東京都,東京本社,営業2部,加藤,デスクトップPC_標準モデル,PC,6,120000,0.0334,116000,696000,102000,612000,84000
SO20220107-C0055,3,2022-01-07,C0055,C2株式会社,東京都,東京本社,営業2部,加藤,ノートPC_軽量モデル,PC,11,200000,0.0607,187870,2066570,164000,1804000,262570
SO20220107-C0062,1,2022-01-07,C0062,J2株式会社,東京都,東京本社,営業1部,鈴木,デスクトップPC_標準モデル,PC,10,120000,0.0798,110430,1104300,102000,1020000,84300
SO20220107-C0075,1,2022-01-07,C0075,W2株式会社,東京都,東京本社,ソリューション営業部,井上,オフィススイート,ソフトウェア,12,50000,0.1015,44930,539160,27500,330000,209160
SO20220107-C0075,2,2022-01-07,C0075,W2株式会社,東京都,東京本社,ソリューション営業部,井上,会計ソフト,ソフトウェア,9,180000,0.0981,162340,1461060,81000,729000,732060
SO20220107-C0078,1,2022-01-07,C0078,Z2株式会社,東京都,東京本社,営業1部,高橋,ノートPC_標準モデル,PC,6,150000,0.0475,142870,857220,126000,756000,101220
SO20220107-C0078,2,2022-01-07,C0078,Z2株式会社,東京都,東京本社,営業1部,高橋,セキュリティソフト,ソフトウェア,47,8000,0.1044,7160,336520,4000,188000,148520
SO20220107-C0078,3,2022-01-07,C0078,Z2株式会社,東京都,東京本社,営業1部,高橋,ノートPC_高性能モデル,PC,2,300000,0.0253,292420,584840,240000,480000,104840
SO20220107-C0094,1,2022-01-07,C0094,P3株式会社,東京都,東京本社,営業1部,田中,ノートPC_軽量モデル,PC,9,200000,0.0653,186950,1682550,164000,1476000,206550
SO20220107-C0106,1,2022-01-07,C0106,B4株式会社,栃木県,東京本社,営業1部,佐藤,ワークステーション,PC,2,500000,0.1211,439470,878940,390000,780000,98940
SO20220107-C0106,2,2022-01-07,C0106,B4株式会社,栃木県,東京本社,営業1部,佐藤,ノートPC_軽量モデル,PC,4,200000,0.1118,177650,710600,164000,656000,54600
SO20220107-C0106,3,2022-01-07,C0106,B4株式会社,栃木県,東京本社,営業1部,佐藤,ノートPC_標準モデル,PC,12,150000,0.1099,133520,1602240,126000,1512000,90240
SO20220107-C0121,1,2022-01-07,C0121,Q4株式会社,神奈川県,東京本社,営業1部,佐藤,デスクトップPC_標準モデル,PC,14,120000,0.0431,114820,1607480,102000,1428000,179480
